# Source: http://venturebeat.com/2011/12/22/list-of-sopa-supporters/
# Source: https://docs.google.com/document/d/1xjisu18X6s7lPtAsIQg5Ol3KJjymPT2az1kasQVwGiw/edit?pli=1

"60 Plus Association","60plus.org"
"ABC","abc.com"
"ABC","go.com"
"Alliance for Safe Online Pharmacies (ASOP)","safeonlinerx.com"
"American Federation of Musicians (AFM)","afm.org"
"American Federation of Television and Radio Artists (AFTRA)","aftra.org"
"American Society of Composers"," Authors and Publishers (ASCAP)","ascap.com"
"Americans for Tax Reform","atr.org"
"Artists and Allied Crafts of the United States"
"Association of American Publishers (AAP)","publishers.org"
"Association of State Criminal Investigative Agencies","ascia.org"
"Association of Talent Agents (ATA)","agentassociation.com"
"Baker & Hostetler LLP","bakerlaw.com"
"Beachbody"," LLC","beachbody.com"
"BMI"
"BMG Chrysalis","bmg.com"
"Building and Construction Trades Department","bctd.org"
"Capitol Records Nashville","capitolnashville.com"
"CBS","cbs.com"
"Cengage Learning","cengage.com"
"Christian Music Trade Association","cmta.com"
"Church Music Publishers’ Association","cmpamusic.org"
"Coalition Against Online Video Piracy (CAOVP)","caovp.com"
"Comcast/NBCUniversal","comcast.com"
"Concerned Women for America (CWA)","cwfa.org"
"Congressional Fire Services Institute","cfsi.org"
"Copyhype","copyhype.com"
"Copyright Alliance","copyrightalliance.org"
"Coty, Inc.","coty.com"
"Council of Better Business Bureaus (CBBB)","bbb.org"
"Council of State Governments","csg.org"
"Country Music Association","cmaworld.com"
"Country Music Television","cmt.com"
"Covington & Burling LLP","cov.com"
"Cowan, DeBaets, Abrahams & Sheppard LLP","cdas.com"
"Cowan, Liebowitz & Latman, P.C.","cli.com"
"Creative America","creativeamerica.org"
"Davis Wright Tremaine LLP"
"Deluxe"
"Directors Guild of America (DGA)"
"Disney Publishing Worldwide Inc."
"Elsevier"
"EMI Christian Music Group"
"EMI Music Publishing"
"ESPN"
"Estée Lauder Companies"
"Fraternal Order of Police (FOP)"
"Go Daddy"
"Gospel Music Association"
"Graphic Artists Guild"
"Hachette Book Group"
"HarperCollins Publishers Worldwide, Inc."
"Hyperion"
"Independent Film & Television Alliance (IFTA)"
"International Alliance of Theatrical and Stage Employees (IATSE)"
"International AntiCounterfeiting Coalition (IACC)"
"International Brotherhood of Electrical Workers (IBEW)"
"International Brotherhood of Teamsters (IBT)"
"International Trademark Association (INTA)"
"International Union of Police Associations"
"Irell & Manella LLP"
"Jenner & Block LLP"
"Kelley Drye & Warren LLP"
"Kendall Brill & Klieger LLP"
"Kinsella Weitzman Iser Kump & Aldisert LLP"
"L’Oreal"
"Lathrop & Gage LLP"
"Loeb & Loeb LLP"
"Lost Highway Records"
"Macmillan"
"Major County Sheriffs"
"Major League Baseball"
"Majority City Chiefs"
"Marvel Entertainment, LLC"
"MasterCard Worldwide"
"MCA Records"
"McGraw-Hill Education"
"Mercury Nashville"
"Minor League Baseball (MiLB)"
"Minority Media & Telecom Council (MMTC)"
"Mitchell Silberberg & Knupp LLP"
"Morrison & Foerster LLP"
"Motion Picture Association of America (MPAA)"
"Moving Picture Technicians"
"MPA – The Association of Magazine Media"
"National Association of Manufacturers (NAM)"
"National Association of Prosecutor Coordinators"
"National Association of State Chief Information Officers"
"National Cable & Telecommunications Association (NCTA)"
"National Center for Victims of Crime"
"National Crime Justice Association"
"National District Attorneys Association"
"National Domestic Preparedness Coalition"
"National Football League"
"National Governors Association, Economic Development and Commerce Committee"
"National League of Cities"
"National Narcotics Offers’ Associations’ Coalition"
"National Sheriffs’ Association (NSA)"
"National Songwriters Association"
"National Troopers Coalition"
"News Corporation"
"Patterson Belknap Webb & Tyler LLP"
"Pearson Education"
"Penguin Group (USA) Inc."
"Pharmaceutical Research and Manufacturers of America (PhRMA)"
"Phillips Nizer, LLP"
"Pfizer, Inc."
"Proskauer Rose LLP"
"Provident Music Group"
"Random House"
"Raulet Property Partners"
"Republic Nashville"
"Revlon"
"Robins, Kaplan, Miller & Ciresi LLP"
"Scholastic, Inc."
"Screen Actors Guild (SAG)"
"Shearman & Sterling LLP"
"Showdog Universal Music"
"Simpson Thacher & Bartlett LLP"
"Skadden, Arps, Slate, Meagher & Flom LLP"
"Sony/ATV Music Publishing"
"Sony Music Entertainment"
"Sony Music Nashville"
"State International Development Organization (SIDO)"
"The National Association of Theatre Owners (NATO)"
"The Perseus Books Groups"
"The United States Conference of Mayors"
"Tiffany & Co."
"Time Warner"
"Ultimate Fighting Championship (UFC)"
"UMG Publishing Group Nashville"
"United States Chamber of Commerce"
"United States Tennis Association"
"Universal Music"
"Universal Music Publishing Group"
"Viacom"
"Visa, Inc."
"W.W. Norton & Company"
"Warner Music Group"
"Warner Music Nashville"
"White & Case LLP"
"Wolters Kluewer Health"
"Word Entertainment"
